,genus_A,genus_B,precision
0,01D2Z36,Prevotellaceae_Ga6A1_group,0.0027224475576105
1,Acetitomaculum,Burkholderia-Caballeronia-Paraburkholderia,-0.0140319359045277
2,Agathobaculum,Bacteroides_pectinophilus_group,0.0007378200176824
3,Agathobaculum,Burkholderia-Caballeronia-Paraburkholderia,0.0014455214700661
4,Agathobaculum,Catenisphaera,0.0004130767865989
5,Agathobaculum,Eubacterium_fissicatena_group,-0.0002989792598715
6,Agathobaculum,Faecalibaculum,0.0001186905902484
7,Agathobaculum,Muribaculum,0.0012041595206439
8,Agathobaculum,Phocea,0.001061262035541
9,Agathobaculum,Prevotellaceae_Ga6A1_group,0.001182605557871
10,Agathobaculum,Roseivirga,-0.0016391764602689
11,Agathobaculum,UCG-003,0.0007083746915665
12,Agathobaculum,study_site,0.0012621713648176
13,AKYG1722,Faecalibaculum,0.0004616114608532
14,Alkalibacterium,Bacteroides_pectinophilus_group,-0.0057174867921085
15,Alkalibacterium,Burkholderia-Caballeronia-Paraburkholderia,0.0007537581248603
16,Alkalibacterium,Faecalibaculum,0.0003508949974856
17,Alkalibacterium,Prevotellaceae_Ga6A1_group,0.0025197098872272
18,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Bacteroides_pectinophilus_group,0.0005388237505636
19,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Prevotellaceae_Ga6A1_group,-0.0032064677832432
20,Anaerocolumna,Faecalibaculum,0.0007915088810947
21,Anaerocolumna,Phocea,-0.0024516680359917
22,Anaerocolumna,Prevotellaceae_Ga6A1_group,-0.0019883233125622
23,Anaerotaenia,Bacteroides_pectinophilus_group,-0.0002248267985021
24,Anaerotaenia,Blfdi19,-0.0015986009263497
25,Anaerotaenia,Burkholderia-Caballeronia-Paraburkholderia,1.45530089857912e-05
26,Anaerotaenia,Prevotellaceae_Ga6A1_group,0.001692992063453
27,Bacteroides_pectinophilus_group,Bdellovibrio,-0.0014143604662621
28,Bacteroides_pectinophilus_group,Bilophila,0.002143463084785
29,Bacteroides_pectinophilus_group,Blfdi19,0.0009457162525033
30,Bacteroides_pectinophilus_group,Burkholderia-Caballeronia-Paraburkholderia,0.0025806560266426
31,Bacteroides_pectinophilus_group,Butyricimonas,-0.0019387990499917
32,Bacteroides_pectinophilus_group,C0119,0.0017622778533382
33,Bacteroides_pectinophilus_group,Candidatus_Alysiosphaera,0.0007586689772748
34,Bacteroides_pectinophilus_group,Catenisphaera,0.0017726170605684
35,Bacteroides_pectinophilus_group,Chroococcidiopsis_PCC_7203,0.0018589426175315
36,Bacteroides_pectinophilus_group,Clostridia_vadinBB60_group,0.0032749056397739
37,Bacteroides_pectinophilus_group,Clostridium_sensu_stricto_1,-0.0016077645900082
38,Bacteroides_pectinophilus_group,Colwellia,0.0047821515940944
39,Bacteroides_pectinophilus_group,Corallococcus,0.0011455452488068
40,Bacteroides_pectinophilus_group,Cryptanaerobacter,0.0007242926684522
41,Bacteroides_pectinophilus_group,Dickeya,0.0016571106884166
42,Bacteroides_pectinophilus_group,Draconibacterium,0.0012278970592671
43,Bacteroides_pectinophilus_group,Duodenibacillus,0.0004693930019276
44,Bacteroides_pectinophilus_group,Erysipelotrichaceae_UCG-006,0.0008116547578684
45,Bacteroides_pectinophilus_group,Ethanoligenens,0.0009336170555102
46,Bacteroides_pectinophilus_group,Eubacterium_eligens_group,0.0029407848175721
47,Bacteroides_pectinophilus_group,Eubacterium_nodatum_group,-0.000443861495687
48,Bacteroides_pectinophilus_group,Faecalibaculum,0.0017954975310908
49,Bacteroides_pectinophilus_group,Fermentibacteraceae,0.0009685257984022
50,Bacteroides_pectinophilus_group,Flavitalea,0.0002241829591241
51,Bacteroides_pectinophilus_group,Gemmobacter,0.0010283231807259
52,Bacteroides_pectinophilus_group,Hafnia-Obesumbacterium,-0.002047272264635
53,Bacteroides_pectinophilus_group,Holdemania,0.0029093810529584
54,Bacteroides_pectinophilus_group,Lachnospira,-0.0036430684558192
55,Bacteroides_pectinophilus_group,Lactococcus,0.0029836960509211
56,Bacteroides_pectinophilus_group,OLB14,-0.0002730930804538
57,Bacteroides_pectinophilus_group,Paraburkholderia,-0.0021840165612724
58,Bacteroides_pectinophilus_group,Parvibacter,-0.0007657346798836
59,Bacteroides_pectinophilus_group,Peptostreptococcus,0.0006701234781292
60,Bacteroides_pectinophilus_group,Phaselicystis,-0.0015213804024195
61,Bacteroides_pectinophilus_group,Phocea,0.0017928333233808
62,Bacteroides_pectinophilus_group,Poseidonibacter,0.0008034633966272
63,Bacteroides_pectinophilus_group,Prevotellaceae_Ga6A1_group,0.0024251735354146
64,Bacteroides_pectinophilus_group,Prevotellaceae_UCG-001,-0.0003977113459808
65,Bacteroides_pectinophilus_group,Risungbinella,0.0009215013053456
66,Bacteroides_pectinophilus_group,Roseateles,0.0009074203948323
67,Bacteroides_pectinophilus_group,Roseivirga,-0.0004592020305518
68,Bacteroides_pectinophilus_group,Ruminococcus_gauvreauii_group,0.0013274996309868
69,Bacteroides_pectinophilus_group,Ruminococcus_torques_group,-0.0006916501515
70,Bacteroides_pectinophilus_group,Streptomyces,0.0023648629487886
71,Bacteroides_pectinophilus_group,Subgroup_10,0.0013951198596065
