V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42
0.444121915820029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.339584376063334,0,0,0.00110981402348186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00516047867887525,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.117625187500082,0,0.00172255139421156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000581904488063387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0054171371169631
0,0,0,0.0397155172558947,0.00188558226237808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057685100712073,0,0,0,0,0,0.00145771949559424,0,0,0,0,0,0,0,0,0,0.00474025497818079,0.00135737221122624,-0.00888058000841689
0,0.00110980920480362,0.0017225322687288,0.00188557898237182,0.00584203026582831,0,0,0.00114261891762022,0,0,0.000930738596726567,0.00221096294557386,0,-0.000111396411949361,0,0,0.0013796583734966,0.00182132774114176,0,0,0,0.00340608364136567,0,0.00363551987645945,0,0.00493933585476142,0.000163450153312038,0,0.0011825439925206,0.00359844643004043,0,0,0,0,0.00513495871475695,0.00371296240588441,0,0,0.00198665374054893,0.00289394330865044,0.00172526240543989,0.00718690600272664
0,0,0,0,0,0.305413748147463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154831752070504,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.494582524168576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00114261401237522,0,0,0.150871736025599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00111208870796443,0,0,0,0,0,0.000153326812232847,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.472044450235552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.456663497699955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.000930744212459935,0,0,0,0,0,0.181565088877123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178300136434527,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00221096487230508,0,0,0,0,0,0,0.139814142953844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128181118853371,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.487380043860537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-0.00011139631573432,0,0,0,0,0,0,0,0,0.428937739062265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488475170459726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413555674016815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00137965717926204,0,0,0,0,0,0,0,0,0,0,0,0.40270802012609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00182132880135794,0,0,0,0,0,0,0,0,0,0,0,0,0.287690532924101,0,0,0,0,0,0,0,0,0,0,0,0.000878442906612862,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462281961819815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496242639604644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472291883433198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.000581905725398569,0,0.00340608851765826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318595873071032,0,-0.0050782216741143,0,0,0.00396740677266101,0,0,0.00279844502415916,-0.000376144660207729,0,0,0,0,0.00382195983426123,0,0,0,-0.00145748809079438,0,0.00542733119150939
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47548167456576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.00576850709800393,0.0036355409952676,0,0,-0.00111208750783295,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00507821433749129,0,0.0800488647688648,0,0,0.000499208081753284,0,0,0.00177098229726106,0,0,0,0,0,0.00324004632248949,0,0,0,-0.0139202410716626,0,0.000574384242368426
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441179498321254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00493927649062258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144138743943819,0,0,0,0.00160171495317072,0,0,0,0,0,-0.00154005308956847,0,0,0,0,0,-0.0145059410981755
