,feature,mean clr,std clr
0,genus_Butyricimonas,-5.193846370501185,1.9212521420265083
1,genus_Butyricicoccus,-4.306433632501194,2.114761973238385
2,genus_unclassified_Coriobacteriaceae,-3.445331803501188,2.2678368026982385
3,genus_Eggerthella,-3.353269236301187,2.212482096153077
4,genus_Pseudoflavonifractor,-2.961167835561184,2.4257236995650446
5,genus_unclassified_Clostridiales_Incertae.Sedis.XIII,-2.461628737761185,2.9913745511414915
6,genus_Anaerovorax,-2.438490414501188,2.609521760354585
7,genus_Odoribacter,-2.4379569205011875,0.932335163750729
8,genus_Anaerotruncus,-2.411314852501186,2.6770237163733683
9,genus_Clostridium.sensu.stricto,-1.6435550885011863,0.6805063906489786
10,genus_unclassified_Firmicutes,-1.4743675305011865,0.3846986022099181
11,genus_Clostridium.XI,-0.5528595485011859,0.38305456801747173
12,genus_unclassified_Clostridiales,-0.3417575225011866,0.24151901986284438
13,genus_unclassified_Bacteria,0.12409232149881365,0.19537565522377515
14,genus_Bilophila,0.13655202106081377,0.967069939646162
15,genus_unclassified_Porphyromonadaceae,0.1437836728988136,0.3715099464162416
16,genus_Oscillibacter,0.15525370749881373,0.20336330045360682
17,genus_unclassified_Ruminococcaceae,0.40990095549881383,0.18816032348665274
18,genus_Clostridium.XVIII,0.47757027097881377,0.7080083752019185
19,genus_Coprococcus,0.5031999227788139,0.2832232341048888
20,genus_unclassified_Lachnospiraceae,0.5092478154988137,0.17533406361288198
21,genus_Parabacteroides,0.8543328541294136,0.18905328814019476
22,genus_Alistipes,0.8876173288406137,0.1773663853716051
23,genus_Akkermansia,0.8918348894988134,0.16251860844476815
24,genus_Clostridium.IV,0.9168207341768139,0.29365914799230747
25,genus_unclassified_Erysipelotrichaceae,0.9298127950648138,0.25793558270663264
26,genus_Lachnospiracea_incertae_sedis,1.036327451618814,0.17401648521318266
27,genus_Parasutterella,1.129156122018813,0.23174559099392508
28,genus_Flavonifractor,1.1306306261388133,0.4326162796444062
29,genus_Faecalibacterium,1.1756780260988131,0.17748431760945815
30,genus_Bacteroides,1.2036914634988145,0.17283700958636217
31,genus_Roseburia,1.2042886470988137,0.20452053001929996
32,genus_Prevotella,1.2172263807228128,0.3597335936364709
33,genus_Phascolarctobacterium,1.3321374233588135,0.2362218337000948
34,genus_Clostridium.XlVa,1.3355326826788145,0.29068240024255976
35,genus_Barnesiella,1.3407094253988134,0.2785995908980825
36,genus_Blautia,1.4160476654988146,0.17996595651283015
37,genus_Streptococcus,1.4347929606486136,0.3434474226725747
38,genus_Erysipelotrichaceae_incertae_sedis,1.4349779563388143,0.34906207821613144
39,genus_Ruminococcus,1.6634799794988118,0.2067870267596876
40,genus_Dorea,1.8491876714988125,0.25383820601135265
41,genus_Veillonella,1.9089183750988137,0.4213720003925774
42,genus_Collinsella,2.1113009874988142,0.2752009344098485
43,genus_Clostridium.XlVb,2.157876359498814,0.3705069553963581
